stage,model,accuracy,precision,recall,f1,roc_auc
baseline,LR,0.9518842530282638,0.5,0.1048951048951049,0.17341040462427745,0.8939035513796914
baseline,XGBoost,0.949192462987887,0.40476190476190477,0.11888111888111888,0.1837837837837838,0.8812721389603679
baseline,LightGBM,0.9478465679676985,0.375,0.1258741258741259,0.18848167539267016,0.8790647316628227
baseline,RF,0.9502018842530283,0.41379310344827586,0.08391608391608392,0.13953488372093023,0.874674636074424
