stage_baseline,model,accuracy_baseline,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,stage_optimized,accuracy_optimized,precision_optimized,recall_optimized,f1_optimized,roc_auc_optimized,roc_auc_gain,f1_gain
baseline,LR,0.9518842530282638,0.5,0.1048951048951049,0.17341040462427745,0.8939035513796914,optimized,0.8021534320323015,0.17423133235724744,0.8321678321678322,0.288135593220339,0.891864233327648,-0.002039318052043382,0.11472518859606154
baseline,XGBoost,0.949192462987887,0.40476190476190477,0.11888111888111888,0.1837837837837838,0.8812721389603679,optimized,0.847913862718708,0.21121495327102804,0.7902097902097902,0.3333333333333333,0.8970700561368642,0.015797917176496257,0.14954954954954952
baseline,LightGBM,0.9478465679676985,0.375,0.1258741258741259,0.18848167539267016,0.8790647316628227,optimized,0.9010767160161507,0.25878594249201275,0.5664335664335665,0.35526315789473684,0.8813401162287695,0.002275384565946781,0.16678148250206667
baseline,RF,0.9502018842530283,0.41379310344827586,0.08391608391608392,0.13953488372093023,0.874674636074424,optimized,0.9094885598923284,0.2857142857142857,0.5874125874125874,0.38443935926773454,0.8919964800134472,0.01732184393902325,0.2449044755468043
