stage_baseline,model,accuracy_baseline,precision_baseline,recall_baseline,f1_baseline,roc_auc_baseline,stage_optimized,accuracy_optimized,precision_optimized,recall_optimized,f1_optimized,roc_auc_optimized,roc_auc_gain,f1_gain
baseline,LR,0.9518842530282638,0.5,0.1048951048951049,0.1734104046242774,0.8939035513796914,optimized,0.8021534320323015,0.1742313323572474,0.8321678321678322,0.288135593220339,0.891864233327648,-0.0020393180520433,0.1147251885960615
baseline,XGBoost,0.949192462987887,0.4047619047619047,0.1188811188811188,0.1837837837837838,0.8812721389603679,optimized,0.847913862718708,0.211214953271028,0.7902097902097902,0.3333333333333333,0.8970700561368642,0.0157979171764962,0.1495495495495495
baseline,LightGBM,0.9478465679676984,0.375,0.1258741258741259,0.1884816753926701,0.8790647316628227,optimized,0.9010767160161508,0.2587859424920127,0.5664335664335665,0.3552631578947368,0.8813401162287695,0.0022753845659467,0.1667814825020666
baseline,RF,0.9502018842530284,0.4137931034482758,0.0839160839160839,0.1395348837209302,0.874674636074424,optimized,0.9094885598923284,0.2857142857142857,0.5874125874125874,0.3844393592677345,0.8919964800134472,0.0173218439390232,0.2449044755468043
